title,author,narrator,duration,released data,language,rating
The Staff Engineer's Path,Tanya Reilly,Wendy Tremont King,Length: 13 hrs and 52 mins,Release Date: 08-08-23,Language: English,0.0
Size,Vaclav Smil,Stephen Perring,Length: 8 hrs and 42 mins,Release Date: 04-05-23,Language: English,0.0
"Einstein's Relativity and the Quantum Revolution: Modern Physics for Non-Scientists, 2nd Edition",Richard Wolfson,Richard Wolfson,Length: 12 hrs and 17 mins,Release Date: 08-07-13,Language: English,5.0
Jony Ive,Leander Kahney,Mr Simon Vance,Length: 8 hrs and 45 mins,Release Date: 07-04-22,Language: English,5.0
The New Map,Daniel Yergin,Robert Petkoff,Length: 15 hrs and 48 mins,Release Date: 12-11-20,Language: English,5.0
Underworld,Graham Hancock,Dennis Kleinman,Length: 31 hrs and 33 mins,Release Date: 19-02-19,Language: English,5.0
User Friendly,Robert Fabricant,Jean Ann Douglass,Length: 11 hrs and 17 mins,Release Date: 07-11-19,Language: English,5.0
Quantum Supremacy,Michio Kaku,Feodor Chin,Length: 10 hrs and 41 mins,Release Date: 02-05-23,Language: English,4.5
Tamed,Alice Roberts,Alice Roberts,Length: 13 hrs and 52 mins,Release Date: 22-03-18,Language: English,5.0
An Astronaut's Guide to Life on Earth,Chris Hadfield,Chris Hadfield,Length: 8 hrs and 45 mins,Release Date: 29-10-13,Language: English,4.5
Particle Physics for Non-Physicists: A Tour of the Microcosmos,Steven Pollock,Steven Pollock,Length: 12 hrs and 23 mins,Release Date: 08-07-13,Language: English,4.5
